tickers
PETR4.SA
VALE3.SA
ITUB4.SA
BBDC4.SA
ABEV3.SA
BBAS3.SA
WEGE3.SA
B3SA3.SA
RENT3.SA
LREN3.SA
MGLU3.SA
RADL3.SA
VIVT3.SA
HAPV3.SA
GGBR4.SA
AAPL
MSFT
GOOGL
AMZN
TSLA
META
NVDA
BRK-B
JPM
JNJ
XOM
WMT
BAC
UNH
V
